Symbol
AAPL
MSFT
NVDA
GOOGL
AMZN
META
BRK-A
TSM
AVGO
TSLA
WMT
V
MA
XOM
ORCL
COST
PG
HD
BABA
SAP
MC.PA
KO
TMUS
ASML
CVX
CRM
RMS.PA
CSCO
TM
IBM
VZA
PM
MCD
LIN
ACN
PEP
GE
SHEL
PLTR
ADBE
TBB
T
VZ
MS
OR.PA
AXP
DIS
SHOP.TO
QCOM
NOW
GS
TXN
GNE.PA
RTX
INTU
CAT
PDD
PGR
AMD
CATR.PA
UBER
BKNG
UNP
NEE
UL
SONY
CMCSA
HON
LOW
TTE
DE
SCHW
TJX
AIR.PA
ARM
ENB.TO
SHOP
AMAT
SU.PA
ADP
FI
BUD
SBUX
TTE.PA
PANW
NKE
MMC
BA
COP
TRI.TO
CB
ADI
ETN
LMT
PLD
SPOT
CDI.PA
ANET
CSU.TO
SAF.PA
